ANEXO I – ÁREAS DE TARIFAÇÃO DO STFC;;;;
ÁREA TARIFÁRIA 011: SAO PAULO (LATITUDE: 23º32’51” S LONGITUDE: 46º38’10”);;;;
SP;IPIGUA;11282;;IPIG
SP;JACI;11312;;JAY
SP;JOSE BONIFACIO;11324;;JOB
SP;MENDONCA;11371;;MND
SP;MIRASSOL;11378;;MRS
SP;MIRASSOLANDIA;11379;;MSD
SP;MONTE APRAZIVEL;11389;;MOZ
SP;NEVES PAULISTA;11402;;NVA
SP;NIPOA;11404;;NIP
SP;NOVA ALIANCA;11406;;NOL
SP;NOVA GRANADA;11410;;NGA
SP;OLIMPIA;11420;;OLA
SP;ONDA VERDE;11422;;ODE
SP;ORINDIUVA;11424;;ODU
SP;PALESTINA;11433;;PLN
SP;PAULO DE FARIA;11453;;PFA
SP;POLONI;11489;;POI
SP;POTIRENDABA;11499;;PTB
SP;RIOLANDIA;11538;;RLD
SP;SAO JOSE DO RIO PRETO;11562;;SRR
SP;SEVERINIA;11602;;SVN
SP;TANABI;11650;;TNB
SP;UBARANA;11944;;UBAA
SP;UCHOA;11679;;UHA
SP;UNIAO PAULISTA;11680;;UPT
ÁREA TARIFÁRIA 173: BARRETOS (LATITUDE: 20º33’26” S LONGITUDE: 48º34’04”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;BARRETOS;11069;;BRS
SP;BEBEDOURO;11075;;BDO
SP;COLINA;11166;;CLN
SP;COLOMBIA;12136;;CLM
SP;GUAIRA;11242;;GIR
SP;JABORANDI;11309;;JND
SP;MONTE AZUL PAULISTA;11390;;MPS
SP;PIRANGI;11479;;PGI
SP;TERRA ROXA;11664;;TOX
SP;VIRADOURO;11698;;VDR
ÁREA TARIFÁRIA 174: VOTUPORANGA (LATITUDE: 20º25’22” S LONGITUDE: 49º58’22”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ALVARES FLORENCE;11015;;AFE
SP;AMERICO DE CAMPOS;11022;;AMO
SP;AURIFLAMA;11052;;AUF
SP;CARDOSO;11152;;CRS
SP;COSMORAMA;11175;;CSM
SP;ESTRELA D’OESTE;11209;;ESE
SP;FERNANDOPOLIS;11218;;FND
SP;FLOREAL;11222;;FLL
SP;GASTAO VIDIGAL;11233;;GVL
SP;GENERAL SALGADO;11234;;GSG
SP;GUARANI D’OESTE;11247;;GIE
SP;INDIAPORA;11277;;IDP
SP;MACAUBAL;11353;;MAB
SP;MACEDONIA;11354;;MED
SP;MAGDA;11355;;MAD
SP;MERIDIANO;11372;;MIO
SP;MIRA ESTRELA;11374;;MSE
SP;MONCOES;11385;;MOE
SP;NHANDEARA;11403;;NHA
SP;NOVA CASTILHO;12080;;NOCA
SP;NOVA LUZITANIA;11413;;NLZ
SP;OUROESTE;11430;;OUTE
SP;PARISI;11922;;PRIS
SP;PEDRANOPOLIS;11456;;PEP
SP;PONTES GESTAL;11494;;PSG
SP;SAO JOAO DAS DUAS PONTES;11554;;SDU
SP;SAO JOAO DE IRACEMA;11771;;SJIR
SP;SEBASTIANOPOLIS DO SUL;11595;;SWP
SP;VALENTIM GENTIL;11685;;VLL
SP;VOTUPORANGA;11701;;VOT
ÁREA TARIFÁRIA 175: CATANDUVA (LATITUDE: 21º08’16” S LONGITUDE: 48º58’22”);;;;
UF;MUNICÍPIO;CNL;;SIGLA
SP;ARIRANHA;11046;;ARH
SP;CAJOBI;11133;;CJB
SP;CATANDUVA;11156;;CTD
SP;CATIGUA;11157;;CAG
SP;ELISIARIO;11200;;ELIS
SP;EMBAUBA;11736;;EUB
SP;IBIRA;11262;;YBA
SP;IRAPUA;11284;;IRW
SP;ITAJOBI;11288;;IJO
SP;MARAPOAMA;11782;;MARP
SP;NOVAIS;11907;;NOVA
SP;NOVO HORIZONTE;11417;;NHT
SP;PALMARES PAULISTA;11434;;PPT
